name,anime_count_score,shared_10s_score,global_user_mean_diff_score,user_mean_diff_score,pearson_score,final_score
brettyoshi9,70.0,30.0,-0.0,-0.0,140.0,240.0
Ryuseishun,70.0,30.0,-0.007817577001524967,-10.0,57.87329593536224,147.86547835836072
oli06,53.93278017100262,26.25,-1.9502724264337274,-3.8248337028824864,61.8134840718828,136.2211581135692
MrRaindropDa,32.435086138418214,18.75,-1.193359962204184,-2.559829059829056,86.50777671739701,133.93967383378197
Zoht,60.55443751463031,22.5,-1.9411051574631983,-5.220994475138127,57.92302334847256,133.81536123050154
tigerk3,59.50946404173821,26.25,-2.6688947584220983,-1.7666034155597714,47.35085489164739,128.67482075940373
WhiteWolf993,42.455589187694116,15.0,-1.3916505604947815,-6.3230769230769255,76.77959338539198,126.52045508951439
shiroyakuza,51.96128965535908,18.75,-0.6107822484789267,-10.0,65.76012865231927,125.86063605919942
samm96,59.90658990535276,30.0,-1.8573166017705773,-7.23264540337712,44.89369019093506,125.71031809114012
GoBananas,58.90193842093633,18.75,-2.266108534952764,-1.129343629343623,50.35554071007002,124.61202696670996
mattanime1234,59.70881609523748,15.0,-1.3504314022944897,-7.4433962264151035,55.355569577448925,121.27055804397682
purplepinapples,62.79899782202469,22.5,-1.5843441344654252,-7.922413793103452,44.146597857683105,119.93883775213891
Alicemagic18,53.85265137717481,22.5,-2.173701842546066,-4.891111111111115,50.639462209823115,119.92730063334074
AndersFrost,62.21603355186737,26.25,-0.8894913162302771,-8.501754385964915,40.32350386339069,119.39829171306286
Aijou,56.92102203700664,15.0,-0.8378627833042742,-0.32040816326530575,48.11178604368941,118.87453713412648
ShenvY,45.730610656485936,18.75,-0.471280985935266,-10.0,64.74842719570078,118.75775686625146
kyonodera,33.0233657098779,22.5,-5.0,-5.15062761506276,73.2725520200153,118.64529011483043
Miidas,61.67637239657773,18.75,-0.7831492578758343,-8.08377896613191,46.7999072197021,118.35935139227209
KawaiiTendou,55.26813952854725,15.0,-2.197633466477697,-2.585470085470078,52.85285590112833,118.3378918777278
Shuuka,48.08455125418234,18.75,-1.7725704239211808,-1.5796344647519618,53.883408060520715,117.36575442602992
Haniemi,37.35102102577902,18.75,-3.4828474502476325,-0.7220216606498155,65.32207476644919,117.21822668133076
Kanjo,61.67637239657773,22.5,-0.3018658354159456,-10.0,43.20339418733616,117.07790074849794
aurahunt,57.21242738990176,15.0,-0.21270319207373234,-10.0,53.7035146892687,115.70323888709673
whitetwinsaber,49.888791563139186,18.75,-1.0348267391548376,-5.024813895781634,52.852615507357235,115.43176643555995
Takemikazuch1,38.88158917582573,11.25,-0.5517277107185379,-10.0,75.63115969896397,115.21102116407116
YATAL,42.76120962904977,15.0,-3.876547371001351,-1.5243902439024453,62.72879414708976,115.08906616123573
TintouTenshi,44.16657047063205,26.25,-3.3514796203238433,-7.991228070175438,55.78970513431297,114.86356791444574
Danger11,32.31690414299828,18.75,-1.9220566351068697,-1.6008583690987166,67.10512740814602,114.64911654693871
animeawardsrefugees,51.19593969615665,18.75,-2.651054314635388,-2.24162679425838,49.44918979275428,114.50244838001716
Azyies,25.418837239384732,18.75,-4.1753967578003,-3.5875706214689274,77.9038416954487,114.3097115555642
