name,anime_count_score,shared_10s_score,global_user_mean_diff_score,user_mean_diff_score,pearson_score,final_score
brettyoshi9,70.0,30.0,-0.0,-0.0,140.0,240.0
Dragstyl,18.87023994414762,11.25,-3.220221989066218,-0.146520146520146,36.759286253319765,63.51278406188102
Henck,1.2911440565968035,15.0,-5.0,-7.516129032258064,51.79525441537533,55.57026943971407
kenneh,6.557814470408828,7.5,-5.0,-1.25,43.7699920795135,51.57780654992233
Isteves,1.2490277818807607,3.75,-5.0,-10.0,34.655629172616266,24.654656954497028
OmegaAmaterasu,5.181811508602812,7.5,-1.1185736374178674,-10.0,20.852789268918134,22.41602714010308
Sun4bouzu,1.6501696497697023,3.75,-2.157321259764167,-10.0,25.265022836260453,18.507871226265987
alrightman,0.861621888871746,11.25,-5.0,-8.402439024390233,19.714867082068245,18.424049946549758
majoody,-0.02484523073583994,0.0,-2.167904741096791,-10.0,30.205412517343177,18.012662545510544
Akakiryu,0.06766080058735906,0.0,-3.9775802087359864,-0.961538461538467,11.860643691917597,6.989185822230502
Noljinn,-0.17391540158304086,0.0,-1.1797624486066667,-10.0,15.225952760836611,3.8722749106469028
Shanks750,0.034370412874674794,7.5,-5.0,-8.899999999999991,1.2829721067794575,-5.082657480345859
Wolfgame,-0.07424069859321729,0.0,-4.621320890165109,-10.0,-3.2446073489490255,-17.94016893770735
ten,-0.09761257934799626,0.0,-5.0,-10.0,-41.777846519309776,-56.87545909865777
AnimeCrazyFan1,-0.17461510124113028,0.0,-1.3929648241205967,-10.0,-68.24478679936874,-79.81236672473047
